chi,eng
机构内部,party_id_id
,ticker_symbol
交易市场代码,exchange_cd
发布时间,publish_date
报告截止日期,end_date_rep
,end_date
,year
,month
,day
报告类型,report_type
会计区间,fiscal_period
合并标志,merged_flag
货币资金,cash_c_equiv
结算备付金,sett_prov
拆出资金,loan_to_oth_bank_fi
交易性金融资产,trading_fa
衍生金融资产,deriv_assets
应收票据,notes_receiv
应收账款,ar
预付款项,prepayment
应收保费,premium_receiv
应收分保账款,reinsur_receiv
应收分保合同准备金,reinsur_reser_receiv
应收利息,int_receiv
应收股利,div_receiv
其他应收款,oth_receiv
买入返售金融资产,pur_resale_fa
划分为持有待售的资产,assets_held_for_sale
存货,inventories
1一年内到期的非流动资产,nca_within_1y
其他流动资产,oth_ca
流动资产特殊项目,cae
流动资产调整项目,caa
流动资产合计,t_ca
发放委托贷款及垫款,disbur_la
可供出售金融资产,avail_for_sale_fa
持有至到期投资,htm_invest
长期应收款,lt_receiv
长期股权投资,lt_equity_invest
投资性房地产,invest_real_estate
固定资产,fixed_assets
在建工程,cip
工程物资,const_materials
固定资产清理,fixed_assets_disp
生产性生物资产,produc_biol_assets
油气资产,oil_and_gas_assets
无形资产,intan_assets
研发支出,r_d
商誉,goodwill
长期待摊费用,lt_amor_exp
递延所得税资产,defer_tax_assets
其他非流动资产,oth_nca
非流动资产特殊项目,ncae
非流动资产调整项目,ncaa
非流动资产合计,t_nca
资产特殊项目,ae
资产调整项目,aa
资产总计,t_assets
短期借款,st_borr
向中央银行借款,cb_borr
吸收存款,depos
拆入资金,loan_fr_oth_bank_fi
交易性金融负债,trading_fl
衍生金融负债,deriv_liab
应付票据,notes_payable
应付账款,ap
预收款项,advance_receipts
卖出回购金融资产款,sold_for_repur_fa
应付手续费及佣金,commis_payable
应付职工薪酬,payroll_payable
应交税费,taxes_payable
应付利息,int_payable
应付股利,div_payable
其他应付款,oth_payable
应付分保账款,reinsur_payable
保险合同准备金,insur_reser
代理买卖证券款,funds_sec_trad_agen
代理承销证券款,funds_sec_undw_agen
划分为持有待售的负债,liab_held_for_sale
1一年内到期的非流动负债,ncl_within_1y
预提费用,accrued_exp
其他流动负债,oth_cl
流动负债特殊项目,cle
流动负债调整项目,cla
流动负债合计,t_cl
长期借款,lt_borr
应付债券,bond_payable
其中优先股,preferred_stock_l
永续债,perpetual_bond_l
长期应付款,lt_payable
长期应付职工薪酬,lt_payroll_payable
专项应付款,specific_payables
预计负债,estimated_liab
递延收益,defer_revenue
递延所得税负债,defer_tax_liab
其他非流动负债,oth_ncl
非流动负债特殊项目,ncle
非流动负债调整项目,ncla
非流动负债合计,t_ncl
负债特殊项目,le
负债调整项目,la
负债合计,t_liab
实收资本,paid_in_capital
其他权益工具,oth_equity_instr
其中优先股,preferred_stock_e
永续债,perpetual_bond_e
资本公积,capital_reser
减库存股,treasury_share
其他综合收益,oth_compre_income
专项储备,special_reser
盈余公积,surplus_reser
一般风险准备,ordin_risk_reser
未分配利润,retained_earnings
外币报表折算差额,forex_differ
归属于母公司所有者权益特殊项目,see
归属于母公司所有者权益调整项目,sea
归属于母公司所有者权益合计,t_equity_attr_p
少数股东权益,minority_int
所有者权益特殊项目,oth_effect_se
所有者权益合计调整项目,oth_effect_sa
所有者权益合计,t_sh_equity
负债和所有者权益特殊项目,lee
负债和所有者权益调整项目,lea
负债和所有者权益总计,t_liab_equity
营业总收入,t_revenue
营业收入,revenue
利息收入,int_income
已赚保费,prem_earned
手续费及佣金收入,commis_income
营业总收入的调整项目,spec_or
营业总收入的差错金额,aor
营业总成本,t_cogs
营业成本,cogs
利息支出,int_exp
手续费及佣金支出,commis_exp
退保金,prem_refund
赔付支出净额,n_compens_payout
提取保险合同准备金净额,reser_insur_contr
保单红利支出,policy_div_payt
分保费用,reinsur_exp
营业税金及附加,biz_tax_surchg
销售费用,sell_exp
管理费用,admin_exp
财务费用,finan_exp
资产减值损失,assets_impair_loss
营业总成本的调整项目,spec_toc
营业总成本的差错金额,atoc
公允价值变动收益,f_value_chg_gain
投资收益,invest_income
其中对联营企业和合营企业的投资收益,a_j_invest_income
汇兑收益,forex_gain
资产处置收益,assets_disp_gain
其他收益,oth_gain
影响营业利润的调整项目,oth_effect_op
影响营业利润的差错金额,ae_effect_op
营业利润,operate_profit
营业外收入,noperate_income
营业外支出,noperate_exp
非流动资产处置损失,nca_disploss
影响利润总额的调整项目,oth_effect_tp
影响利润总额的差错金额,ae_effect_tp
利润总额,t_profit
所得税费用,income_tax
影响净利润的调整项目,oth_effect_np
影响净利润的差错金额,ae_effect_np
净利润,n_income
归属于母公司所有者的净利润,n_income_attr_p
被合并方在合并前实现的净利润,n_income_bma
少数股东损益,minority_gain
影响净利润分配的调整项目,oth_effect_npp
影响净利润分配的差错金额,ae_effect_npp
基本每股收益,basic_eps
稀释每股收益,diluted_eps
其他综合收益,oth_compr_income
影响综合收益总额的调整项目,oth_effect_ci
影响综合收益总额的差错金额,ae_effect_ci
综合收益总额,t_compr_income
归属于母公司所有者的综合收益总额,compr_inc_attr_p
归属于少数股东的综合收益总额,compr_inc_attr_m_s
影响综合收益总额分配的调整项目,oth_effect_pci
影响综合收益总额分配的差错金额,ae_effect_pci
销售商品提供劳务收到的现金,c_fr_sale_g_s
客户存款和同业存放款项净增加额,n_depos_incr_c_fi
向中央银行借款净增加额,n_incr_borr_fr_cb
向其他金融机构拆入资金净增加额,n_inc_borr_oth_fi
收到原保险合同保费取得的现金,prem_fr_orig_contr
收到再保险业务现金净额,n_reinsur_prem
保户储金及投资款净增加额,n_inc_ph_depos_inv
处置交易性金融资产净增加额,n_inc_disp_trad_fa
收取利息手续费及佣金的现金,ifc_cash_incr
拆入资金净增加额,n_inc_fr_borr
回购业务资金净增加额,n_cap_incr_repur
收到的税费返还,refund_of_tax
收到其他与经营活动有关的现金,c_fr_oth_operate_a
经营活动现金流入特殊项目,spec_ocif
经营活动现金流入调整项目,aocif
经营活动现金流入小计,c_inf_fr_operate_a
购买商品接受劳务支付的现金,c_paid_g_s
客户贷款及垫款净增加额,n_inc_disbur_of_la
存放中央银行和同业款项净增加额,net_incr_depos_in_fi
支付原保险合同赔付款项的现金,orig_contr_c_indem
支付利息手续费及佣金的现金,c_paid_ifc
支付保单红利的现金,c_paid_pol_div
支付给职工以及为职工支付的现金,c_paid_to_for_empl
支付的各项税费,c_paid_for_taxes
支付其他与经营活动有关的现金,c_paid_for_oth_op_a
经营活动现金流出特殊项目,spec_ocof
经营活动现金流出调整项目,aocof
经营活动现金流出小计,c_outf_operate_a
经营活动现金流量净额调整项目,anocf
经营活动产生的现金流量净额,n_cf_operate_a
收回投资收到的现金,proc_sell_invest
取得投资收益收到的现金,gain_invest
处置固定资产无形资产和其他长期资产收回的现金净额,disp_fix_assets_oth
处置子公司及其他营业单位收到的现金净额,n_disp_subs_oth_biz_c
收到其他与投资活动有关的现金,c_fr_oth_invest_a
投资活动现金流入特殊项目,spec_cif
投资活动现金流入调整项目,acif
投资活动现金流入小计,c_inf_fr_invest_a
购建固定资产无形资产和其他长期资产支付的现金,pur_fix_assets_oth
投资支付的现金,c_paid_invest
质押贷款净增加额,n_incr_pledge_loan
取得子公司及其他营业单位支付的现金净额,n_c_paid_acquis
支付其他与投资活动有关的现金,c_paid_oth_invest_a
投资活动现金流出特殊项目,spec_cof
投资活动现金流出调整项目,acof
投资活动现金流出小计,c_outf_fr_invest_a
投资活动现金流量净额调整项目,anicf
投资活动产生的现金流量净额,n_cf_fr_invest_a
吸收投资收到的现金,c_fr_cap_contr
其中子公司吸收少数股东投资收到的现金,c_fr_mino_s_subs
取得借款收到的现金,c_fr_borr
发行债券收到的现金,c_fr_issue_bond
收到其他与筹资活动有关的现金,c_fr_oth_finan_a
筹资活动现金流入特殊项目,spec_fcif
筹资活动现金流入调整项目,afcif
筹资活动现金流入小计,c_inf_fr_finan_a
偿还债务支付的现金,c_paid_for_debts
分配股利利润或偿付利息支付的现金,c_paid_div_prof_int
其中子公司支付给少数股东的股利利润,div_prof_subs_mino_s
支付其他与筹资活动有关的现金,c_paid_oth_finan_a
筹资活动现金流出特殊项目,spec_fcof
筹资活动现金流出调整项目,afcof
筹资活动现金流出小计,c_outf_fr_finan_a
筹资活动流量现金净额调整项目,anfcf
筹资活动产生的现金流量净额,n_cf_fr_finan_a
汇率变动对现金及现金等价物的影响,forex_effects
影响现金及现金等价物净增加额的特殊项目,oth_effect_ce
影响现金及现金等价物的调整项目,ace
现金及现金等价物净增加额,n_change_in_cash
加期初现金及现金等价物余额,n_ce_beg_bal
现金及现金等价物净增加额的特殊项目,oth_effect_cei
现金及现金等价物净增加额的调整项目,acei
期末现金及现金等价物余额,n_ce_end_bal
,hb
,tb
,hb_abs
,tb_abs
100,tb100
200,tb200
300,tb300
