PARTY_ID_机构内部ID,TICKER_SYMBOL_股票代码,EXCHANGE_CD_交易市场代码,PUBLISH_DATE_发布日期,END_DATE_REP_报告截止日期,END_DATE_截止日期,REPORT_TYPE_报告类型,FISCAL_PERIOD_会计区间,MERGED_FLAG_合并标志,REVENUE_营业收入,PREM_EARNED_已赚保费,GROSS_PREM_WRIT_保险业务收入,REINS_INCOME_其中分保费收入,REINSUR_减分出保费,UNE_PREM_RESER_提取未到期责任准备金,F_VALUE_CHG_GAIN_公允价值变动收益,INVEST_INCOME_投资收益,A_J_INVEST_INCOME_其中对联营企业和合营企业的投资收益,FOREX_GAIN_汇兑收益,ASSETS_DISP_GAIN_资产处置收益,OTH_GAIN_其他收益,OTH_OPER_REV_其他业务收入,SPEC_OR_营业收入特殊项目,AOR_营业收入调整项目,COGS_营业支出,PREM_REFUND_退保金,COMPENS_PAYOUT_赔付支出,COMPENS_PAYOUT_REFU_减摊回赔付支出,RESER_INSUR_LIAB_提取保险责任准备金,INSUR_LIAB_RESER_REFU_减摊回保险责任准备金,POLICY_DIV_PAYT_保单红利支出,REINSUR_EXP_分保费用,BIZ_TAX_SURCHG_营业税金及附加,COMMIS_EXP_手续费及佣金支出,GENL_ADMIN_EXP_业务及管理费,REINS_COST_REFUND_减摊回分保费用,OTH_OPER_COSTS_其他业务成本,ASSETS_IMPAIR_LOSS_资产减值损失,SPEC_OP_营业支出特殊项目,AOP_营业支出调整项目,OTH_EFFECT_OP_影响营业利润的调整项目,AE_EFFECT_OP_影响营业利润的差错金额,OPERATE_PROFIT_营业利润,NOPERATE_INCOME_营业外收入,NOPERATE_EXP_营业外支出,OTH_EFFECT_TP_影响利润总额的调整项目,AE_FFECT_TP_影响利润总额的差错金额,T_PROFIT_利润总额,INCOME_TAX_所得税费用,OTH_EFFECT_NP_影响净利润的调整项目,AE_EFFECT_NP_影响净利润的差错金额,N_INCOME_净利润,N_INCOME_ATTR_P_归属于母公司所有者的净利润,N_INCOME_BMA_被合并方在合并前实现的净利润,MINORITY_GAIN_少数股东损益,OTH_EFFECT_NPP_影响净利润分配的调整项目,AE_EFFECT_NPP_影响净利润分配的差错金额,BASIC_EPS_基本每股收益,DILUTED_EPS_稀释每股收益,OTH_COMPR_INCOME_其他综合收益,OTH_EFFECT_CI_影响综合收益总额的调整项目,AE_EFFECT_CI_影响综合收益总额的差错金额,T_COMPR_INCOME_综合收益总额,COMPR_INC_ATTR_P_归属于母公司所有者的综合收益总额,COMPR_INC_ATTR_M_S_归属于少数股东的综合收益总额,OTH_EFFECT_PCI_影响综合收益总额分配的调整项目,AE_EFFECT_PCI_影响综合收益总额分配的差错金额
228,000627,XSHE,2017-10-31,2017-09-30,2017-09-30,Q3,9,1,46588730805.57,40313101817.45,40330850147.63,,14072238.05,3676092.13,164500.00,5403572986.83,106187993.08,-1602001.23,,,502555384.70,370938117.82,,44874959401.84,16677882509.74,1537955047.67,,22418545994.04,,40150906.07,,30760507.18,617885421.27,2091975939.71,-3868164.26,1140572861.36,259153.14,315102897.40,,,,1713771403.73,6178641.78,2920183.99,,,1717029861.52,15195546.33,,,1701834315.19,838826626.65,,863007688.54,,,.2000,.2000,-1156752507.46,,,545081807.73,248882847.84,296198959.89,,
228,000627,XSHE,2017-10-31,2017-09-30,2016-09-30,Q3,9,1,8759403602.95,4392996861.46,4436901654.32,,45269213.08,-1364420.22,6654600.37,3731962228.31,,-381911.26,,,275707485.50,352464338.57,,7580736960.42,3111067073.94,846768586.20,,1241575158.79,,36601730.00,,7012235.20,156267660.59,740950753.58,11595809.82,1086301959.04,60137777.17,305649835.73,,,,1178666642.53,5497971.52,358382.98,,,1183806231.07,-56790628.35,,,1240596859.42,842825843.10,,397771016.32,,,.2140,.2140,2620970988.55,,,3861567847.97,2310190101.79,1551377746.18,,
228,000627,XSHE,2018-04-28,2017-12-31,2017-12-31,A,12,1,53405580054.05,44420568549.97,46131708504.36,,1704401937.97,6738016.42,-147543.67,7682791340.16,253685093.83,-2145426.17,210966.14,5663024.61,779006356.36,519632786.65,,50678188639.28,21731248839.45,1912390856.02,10014263.86,23243326750.26,1644778677.54,51586592.84,,50566205.04,1904711116.18,1591015369.91,199167062.64,1616109449.49,2474257.36,428719206.77,,,,2727391414.77,8724820.98,11809584.84,,,2724306650.91,46020046.80,,,2678286604.11,1326164178.53,,1352122425.58,,,.3000,.3000,-1018684851.56,,,1659601752.55,806634904.24,852966848.31,,
228,000627,XSHE,2016-10-27,2016-09-30,2015-09-30,Q3,9,1,400279623.00,.00,,,,,,11535489.02,,,,,,388744133.98,,465534495.79,,,,,,,,1257427.30,17791756.18,51678108.07,,,13841443.20,380965761.04,,,,-65254872.79,2026098.79,685999.84,,,-63914773.84,-9194466.75,,,-54720307.09,-55803292.70,,1082985.61,,,-.0410,-.0410,,,,-54720307.09,-55803292.70,1082985.61,,
228,000627,XSHE,2018-04-28,2018-03-31,2017-03-31,Q1,3,1,23940692065.83,22280586779.85,22283088995.88,,-1165498.80,3667714.83,200000.00,1382290219.21,,-199403.90,,,119498750.29,158315720.37,.01,23709125454.00,7808611648.85,564834020.93,-5856003.55,13651647395.82,-2545969.95,14515519.47,,3242274.05,652925746.01,420953269.79,-109008.99,452645414.31,,129931624.95,1307557.33,,,231566611.83,701593.63,1026776.95,,,231241428.51,2005061.78,,,229236366.73,110044271.78,,119192094.95,,,.0300,.0300,-206160067.70,,,23076299.03,4902637.25,18173661.78,,
228,000627,XSHE,2017-04-26,2016-12-31,2015-12-31,A,12,1,1084618162.61,,,,,,,543511025.67,528765789.25,,,,,541107136.94,,752425381.71,,,,,,,,2086954.47,22661820.48,77539845.52,,,132165003.65,517971757.59,,,,332192780.90,3744427.79,1503732.18,,,334433476.51,83894999.11,,,250538477.40,247266665.79,,3271811.61,,,.1800,.1800,43394839.36,,,293933316.76,290661505.15,3271811.61,,
228,000627,XSHE,2017-04-26,2017-03-31,2016-03-31,Q1,3,1,2515702444.62,760483946.89,,,,,,1493137992.74,,-444247.12,,,137212715.28,125312036.83,,1469047000.07,182768338.91,73833100.63,-367505.46,736693670.86,21431.35,2596861.34,,36974344.52,6687963.66,110072158.84,-2684.06,152912757.32,60724661.54,105434384.28,,,,1046655444.55,597649.55,39539.92,,,1047213554.18,-64195511.58,,,1111409065.76,793733958.47,,317675107.29,,,.2400,.2400,354317049.74,,,1465726115.50,1148051008.21,317675107.29,,
228,000627,XSHE,2018-04-28,2017-12-31,2016-12-31,A,12,1,16989661921.09,8814084558.34,8871531288.93,,58587169.28,-1140438.69,,7342502564.28,6480273.58,2086350.05,-5883740.89,,355545952.60,481326236.71,,13570741761.79,5035914665.85,1154378032.28,44399431.07,3813441776.30,11164425.93,52252226.68,,25431015.39,284362495.15,1245118851.89,12206125.28,1554254018.19,66992685.16,406365977.18,,,,3418920159.30,15068190.10,1427168.30,,,3432561181.10,323718646.85,,,3108842534.25,1778718929.21,,1330123605.04,,,.4400,.4400,1084504798.46,,,4193347332.71,2310552905.14,1882794427.57,,
228,000627,XSHE,2018-04-28,2018-03-31,2018-03-31,Q1,3,1,15793772924.15,12962722371.81,27158894201.22,,14196876517.21,-704687.80,1134800.00,2126776456.99,,-1302325.28,84929.48,160494.85,563620764.67,140820855.96,-245424.33,15033859922.59,18938392078.57,510586042.43,6599202.58,7375532996.03,14217431045.29,10142395.54,,6724064.04,1152481474.74,397571960.17,3935229.80,765313076.30,,105171229.82,-89917.38,,,759913001.56,44934.31,2097543.92,,,757860391.95,98880473.55,,,658979918.40,338366275.34,,320613643.06,,,.0700,.0700,-838565730.12,,,-179585811.72,-89302247.02,-90283564.70,,
855,600291,XSHG,2016-08-24,2016-06-30,2015-06-30,S1,6,1,10685208768.46,5507854849.07,6733580805.31,6572863.03,406078062.95,819647893.29,8307674.55,5186721567.67,-9604.95,-50949166.15,,,33273843.32,,,8220737079.87,,3352665628.46,332786169.86,67403185.96,2257465.81,,1967091.50,564208120.41,760273310.84,1398450339.91,132653985.98,2515248640.40,4627881.05,23590502.99,,,,2464471688.59,16202056.98,1183267.07,,,2479490478.50,733302231.42,,,1746188247.08,368788309.93,,1377399937.15,,,.9604,.9604,672248077.09,,,2418436324.17,504793884.59,1913642439.58,,
855,600291,XSHG,2017-10-31,2017-09-30,2017-09-30,Q3,9,1,22403763434.49,10488822099.32,10604461668.10,35276535.81,363387205.22,-247747636.44,-650504.52,11302927299.67,1745312528.94,-51466116.92,,,664130656.94,,,20209499240.39,,5664040335.30,200256547.54,253312295.32,42038685.12,,11850574.00,100156640.67,1999292303.06,2951418634.07,71616205.87,9450672631.94,4069166.61,88598097.95,,,,2194264194.10,860208057.70,9316119.18,,,3045156132.62,302800427.62,,,2742355705.00,2486709661.11,,255646043.89,,,2.2750,2.2750,-162082941.32,,,2580272763.68,1566917768.97,1013354994.71,,
855,600291,XSHG,2016-03-03,2015-12-31,2014-12-31,A,12,1,11605542097.82,9781707697.62,11162632680.51,10074565.74,1287083713.54,93841269.35,3877168.86,1790565562.70,-2625786.56,-20982556.67,,,50374225.31,,,11359241670.21,,6448394693.75,624772678.20,92736705.44,-71892005.19,,2634779.01,635530086.56,1160497244.14,2631591881.41,490325926.20,1311962608.85,44295234.47,74805035.79,,,,246300427.61,12807801.56,99636981.10,,,159471248.07,-252418464.03,,,411889712.10,85221934.66,,326667777.44,,,.2219,.2219,1209010180.11,,,1620899892.21,735586611.62,885313280.59,,
855,600291,XSHG,2017-04-29,2017-03-31,2016-03-31,Q1,3,1,6620348856.54,2769949009.46,3582186766.05,4695377.13,189238487.61,622999268.98,-4726975.77,3786236386.71,,-3736480.92,,,72626917.06,,,6593360838.10,,1702759061.17,371738399.67,176670355.38,-2986321.09,,1536924.92,365880516.19,445982638.24,712149423.85,101099434.57,3644487482.82,4040780.53,9705168.15,,,,26988018.44,1170833.07,648468.80,,,27510382.71,10707636.47,,,16802746.24,55120280.03,,-38317533.79,,,.0579,.0579,-1699089118.81,,,-1682286372.57,1325509977.22,-3007796349.79,,
855,600291,XSHG,2018-04-28,2018-03-31,2018-03-31,Q1,3,1,6567701748.14,3908369334.94,4427191302.21,17288936.36,193595175.35,325226791.92,-1239.00,2575761033.06,826306557.56,-32451204.01,99128.90,582912.99,115341781.26,,,6205681628.16,,1915748297.57,45589027.69,197566245.53,11259786.02,,4803810.78,42964236.95,1147027188.06,866298713.45,43930900.69,2072442177.59,9988966.58,49621706.05,,,,362020119.98,5679512.34,1540261.23,,,366159371.09,-2082577.27,,,368241948.36,213511722.13,,154730226.23,,,.1953,.1953,607580175.57,,,975822123.93,474947927.13,500874196.80,,
855,600291,XSHG,2018-04-28,2018-03-31,2017-03-31,Q1,3,1,9488472737.52,3458207198.53,3845919317.16,14615038.02,219516723.56,168195395.07,-405395.70,5742140894.33,425457069.41,-1841701.97,-246986.58,,290618728.91,,,6993014559.33,,1773891449.22,66369110.64,54716982.55,-12247168.74,,6240275.92,78908149.56,737705376.72,1133111392.75,56934979.02,3284194057.60,4465051.06,30838744.87,,,,2495458178.19,2823816.25,947591.02,,,2497334403.42,296302907.40,,,2201031496.02,2117886770.85,,83144725.17,,,1.9376,1.9376,-1190227155.40,,,1010804340.62,764803767.58,246000573.04,,
855,600291,XSHG,2018-04-28,2017-12-31,2017-12-31,A,12,1,30246421889.99,14086234784.40,14224465589.53,52508158.50,440513906.65,-302283101.52,-134486660.81,15630147033.73,2134844747.88,-52281544.83,-1172321.03,4207671.23,713772927.30,,,28044651578.55,,7850010827.82,300583532.86,104429015.27,-16872942.13,,16917733.15,133263021.89,2881403864.78,4060804678.83,97886958.01,12165930024.44,1195833620.02,17656341.09,,,,2201770311.44,924590166.18,10540166.81,,,3115820310.81,679064445.30,,,2436755865.51,2395087594.39,,41668271.12,,,2.1912,2.1912,-944063304.93,,,1492692560.58,1139837631.06,352854929.52,,
855,600291,XSHG,2018-04-28,2017-12-31,2016-12-31,A,12,1,30586528047.16,12018113031.88,13898199603.75,23838757.14,563650257.89,1316436313.98,162115465.06,17995392183.00,444542094.52,57444482.99,-17132462.92,,370595347.15,,,30794148519.73,,7280830857.91,1344454488.91,121899207.41,-465023595.32,,9042384.35,599961930.51,2133129087.96,3506606246.44,264530916.73,16422314426.56,1406073625.26,458252563.65,,,,-207620472.57,220260690.74,5065383.75,,,7574834.42,-323901693.68,,,331476528.10,35995654.52,,295480873.58,,,.0340,.0340,-1549690351.57,,,-1218213823.47,1511964398.86,-2730178222.33,,
855,600291,XSHG,2016-04-30,2016-03-31,2015-03-31,Q1,3,1,4230177525.73,2679465930.16,3272855816.02,2608180.06,215429376.78,377960509.08,1574524.98,1568957077.02,,-29187548.00,,,9367541.57,,,3723133407.45,,1554063926.55,134354868.73,130732719.48,30476619.95,,776869.30,219242085.06,362155491.19,722846817.98,67096313.51,947569607.42,5145944.62,12527748.04,,,,507044118.28,15558478.59,405774.84,,,522196822.03,118693679.56,,,403503142.47,76322714.44,,327180428.03,,,.2000,.2000,1542396445.56,,,1945899588.03,483984382.84,1461915205.19,,
855,600291,XSHG,2016-10-29,2016-09-30,2015-09-30,Q3,9,1,15945100407.66,6705895789.17,10027419146.39,10595789.31,3454002081.14,-132478723.92,-4186240.46,9200754804.74,430636.75,-30874656.58,,,73510710.79,,,12936072504.81,,5235198623.68,831250475.99,156263127.94,277889725.66,,3246725.46,919702559.08,1150436697.12,2162251228.42,1350953924.63,4434842831.78,1299558343.03,34666494.58,,,,3009027902.85,19400079.22,1391509.70,,,3027036472.37,892485591.89,,,2134550880.48,403082089.21,,1731468791.27,,,1.0497,1.0497,-2592223170.31,,,-457672289.83,-76350693.35,-381321596.48,,
855,600291,XSHG,2017-04-20,2016-12-31,2015-12-31,A,12,1,20029267014.11,9161115970.89,12905914223.26,18071938.83,3525511767.00,219286485.37,-75204.04,10738800610.97,-542774.88,-20181904.61,,,149607540.90,,,19303256968.50,,6971196471.08,1250640812.79,196094780.40,376564581.73,,5380217.68,991955505.55,1519657220.93,3295126548.15,1394789136.16,7647504800.49,1650377802.31,47958152.59,,,,726010045.61,41596839.83,5401837.69,,,762205047.75,274656243.10,,,487548804.65,177814116.43,,309734688.22,,,.4631,.4631,1097360501.41,,,1584909306.06,345812612.23,1239096693.83,,
855,600291,XSHG,2017-10-31,2017-09-30,2016-09-30,Q3,9,1,20962142417.31,8597040871.35,10080462386.34,21539883.94,465717429.71,1017704085.28,258744.30,12002713368.66,10404010.83,19654229.89,,,342475203.11,,,21163156255.34,,5273277897.95,952451594.41,166468249.12,-135595960.40,,8027303.66,498441481.16,1463793530.33,2418941033.63,233397891.94,12214434552.37,6894857.36,163130875.71,,,,-201013838.03,213314332.83,18181956.92,,,-5881462.12,-13613649.69,,,7732187.57,38611063.21,,-30878875.64,,,.0369,.0369,-1477464302.78,,,-1469732115.21,1471218236.27,-2940950351.48,,
855,600291,XSHG,2017-08-31,2017-06-30,2017-06-30,S1,6,1,15619592361.94,6915593211.85,7257129811.11,23389231.21,307746384.08,33790215.18,-736297.28,8190610095.62,1037928716.08,-21485380.97,,,535610732.72,,,13612492293.04,,3629939653.96,129532934.22,173846128.60,-11607293.43,,8657565.53,71719140.57,1319742908.16,1972228954.11,66981146.18,6540179333.29,14740041.39,66345354.40,,,,2007100068.90,848740589.56,2414174.48,,,2853426483.98,305652458.10,,,2547774025.88,2355706007.93,,192068017.95,,,2.1551,2.1551,-929651682.91,,,1618122342.97,1112399559.35,505722783.62,,
855,600291,XSHG,2017-08-31,2017-06-30,2016-06-30,S1,6,1,14114513495.51,5570249832.10,6783817466.43,15509217.07,333170762.29,880396872.04,-545529.37,8363017784.38,-880450.48,15310210.80,,,166481197.60,,,14150594552.64,,3448492789.51,694424610.46,174633942.87,-72440322.55,,6182471.06,462192185.03,903242136.70,1503933912.14,183567864.78,8298076270.45,3349828.43,156043169.14,,,,-36081057.13,9275925.02,1618361.57,,,-28423493.68,-6060196.77,,,-22363296.91,6014057.56,,-28377354.47,,,.0059,.0059,-1734570711.66,,,-1756934008.57,1286880032.86,-3043814041.43,,
2264,601318,XSHG,2015-10-28,2015-09-30,2014-09-30,Q3,9,1,344360000000.00,222383000000.00,251103000000.00,25000000.00,19082000000.00,9638000000.00,213000000.00,53809000000.00,,-4000000.00,,,12380000000.00,55579000000.00,,294750000000.00,7546000000.00,75846000000.00,8958000000.00,84236000000.00,1577000000.00,4550000000.00,1000000.00,11494000000.00,25991000000.00,60275000000.00,6080000000.00,17942000000.00,19101000000.00,4383000000.00,,,,49610000000.00,291000000.00,338000000.00,,,49563000000.00,10889000000.00,,,38674000000.00,31687000000.00,,6987000000.00,,,2.0000,1.8900,10116000000.00,,,48790000000.00,41485000000.00,7305000000.00,,
2264,601318,XSHG,2015-03-20,2014-12-31,2013-12-31,A,12,1,362631000000.00,240199000000.00,269051000000.00,55000000.00,21034000000.00,7818000000.00,596000000.00,54917000000.00,,-381000000.00,,,11034000000.00,56266000000.00,,316292000000.00,7574000000.00,90663000000.00,9210000000.00,94545000000.00,2126000000.00,5311000000.00,7000000.00,11962000000.00,25383000000.00,69168000000.00,6584000000.00,17431000000.00,8966000000.00,3202000000.00,,,,46339000000.00,405000000.00,520000000.00,,,46224000000.00,10210000000.00,,,36014000000.00,28154000000.00,,7860000000.00,,,3.5600,3.5500,-6212000000.00,,,29802000000.00,22930000000.00,6872000000.00,,
2264,601318,XSHG,2018-03-21,2017-12-31,2016-12-31,A,12,1,712453000000.00,441620000000.00,469555000000.00,106000000.00,17827000000.00,10108000000.00,3831000000.00,109678000000.00,,1401000000.00,,,42318000000.00,113605000000.00,,619085000000.00,16050000000.00,140236000000.00,,149613000000.00,-1522000000.00,11236000000.00,12000000.00,9268000000.00,78742000000.00,129997000000.00,6353000000.00,38932000000.00,48894000000.00,936000000.00,,,,93368000000.00,1402000000.00,359000000.00,,,94411000000.00,22043000000.00,,,72368000000.00,62394000000.00,,9974000000.00,,,3.5000,3.4900,-7567000000.00,,,64801000000.00,54710000000.00,10091000000.00,,
2264,601318,XSHG,2018-03-21,2017-12-31,2017-12-31,A,12,1,890882000000.00,572990000000.00,605035000000.00,127000000.00,17420000000.00,14625000000.00,3271000000.00,155919000000.00,,-128000000.00,,1227000000.00,44911000000.00,112692000000.00,,756124000000.00,20519000000.00,159113000000.00,,220024000000.00,492000000.00,13129000000.00,28000000.00,3735000000.00,114559000000.00,139688000000.00,6728000000.00,45054000000.00,45251000000.00,2244000000.00,,,,134758000000.00,354000000.00,372000000.00,,,134740000000.00,34762000000.00,,,99978000000.00,89088000000.00,,10890000000.00,,,4.9900,4.9900,21881000000.00,,,121859000000.00,110672000000.00,11187000000.00,,
2264,601318,XSHG,2018-04-27,2018-03-31,2018-03-31,Q1,3,1,310452000000.00,238686000000.00,253109000000.00,76000000.00,5755000000.00,8668000000.00,-4795000000.00,36645000000.00,,-124000000.00,44000000.00,137000000.00,10974000000.00,28885000000.00,,270877000000.00,6891000000.00,60182000000.00,,104669000000.00,47000000.00,7576000000.00,13000000.00,929000000.00,37190000000.00,30723000000.00,1992000000.00,11949000000.00,11075000000.00,1719000000.00,,,,39575000000.00,69000000.00,60000000.00,,,39584000000.00,10633000000.00,,,28951000000.00,25702000000.00,,3249000000.00,,,1.4400,1.4400,-658000000.00,,,28293000000.00,24811000000.00,3482000000.00,,
2264,601318,XSHG,2018-04-27,2018-03-31,2017-03-31,Q1,3,1,265755000000.00,197203000000.00,211093000000.00,14000000.00,5020000000.00,8870000000.00,-85000000.00,29428000000.00,,-115000000.00,3000000.00,109000000.00,10349000000.00,28863000000.00,,232984000000.00,9545000000.00,40260000000.00,,93897000000.00,390000000.00,5900000000.00,,838000000.00,30187000000.00,29952000000.00,1407000000.00,10763000000.00,12744000000.00,695000000.00,,,,32771000000.00,27000000.00,70000000.00,,,32728000000.00,6988000000.00,,,25740000000.00,23053000000.00,,2687000000.00,,,1.2900,1.2900,6311000000.00,,,32051000000.00,29236000000.00,2815000000.00,,
2264,601318,XSHG,2017-10-28,2017-09-30,2017-09-30,Q3,9,1,663006000000.00,444436000000.00,471772000000.00,123000000.00,13540000000.00,13796000000.00,1443000000.00,99267000000.00,,-45000000.00,,,32662000000.00,85243000000.00,,562474000000.00,16884000000.00,115990000000.00,6449000000.00,174525000000.00,1290000000.00,10600000000.00,28000000.00,2747000000.00,84539000000.00,95556000000.00,5286000000.00,31281000000.00,35009000000.00,8340000000.00,,,,100532000000.00,322000000.00,296000000.00,,,100558000000.00,25339000000.00,,,75219000000.00,66318000000.00,,8901000000.00,,,3.7200,3.7100,17846000000.00,,,93065000000.00,83699000000.00,9366000000.00,,
2264,601318,XSHG,2017-10-28,2017-09-30,2016-09-30,Q3,9,1,546118000000.00,340651000000.00,359346000000.00,72000000.00,13178000000.00,5517000000.00,3303000000.00,83747000000.00,,606000000.00,,,31946000000.00,85865000000.00,,464088000000.00,12777000000.00,103246000000.00,8510000000.00,118032000000.00,-1063000000.00,9024000000.00,7000000.00,8349000000.00,58785000000.00,92862000000.00,4165000000.00,29892000000.00,33358000000.00,9368000000.00,,,,82030000000.00,777000000.00,229000000.00,,,82578000000.00,17765000000.00,,,64813000000.00,56508000000.00,,8305000000.00,,,3.1700,3.1600,-5917000000.00,,,58896000000.00,50503000000.00,8393000000.00,,
2264,601318,XSHG,2012-10-31,2012-09-30,2011-09-30,Q3,9,1,185329000000.00,143026000000.00,159959000000.00,123000000.00,8349000000.00,8584000000.00,-637000000.00,23374000000.00,,-457000000.00,,,3382000000.00,16641000000.00,,163809000000.00,3190000000.00,41684000000.00,2820000000.00,63489000000.00,316000000.00,3865000000.00,16000000.00,5174000000.00,13179000000.00,28495000000.00,2460000000.00,6793000000.00,2831000000.00,689000000.00,,,,21520000000.00,240000000.00,185000000.00,,,21575000000.00,5289000000.00,,,16286000000.00,14519000000.00,,1767000000.00,,,1.8800,1.8800,-17582000000.00,,,-1296000000.00,-2787000000.00,1491000000.00,,
2264,601318,XSHG,2011-04-28,2011-03-31,2010-03-31,Q1,3,1,52148000000.00,42291000000.00,48091000000.00,80000000.00,2372000000.00,3428000000.00,-182000000.00,6198000000.00,,2000000.00,,,1523000000.00,2316000000.00,,46653000000.00,808000000.00,8712000000.00,955000000.00,22824000000.00,550000000.00,1175000000.00,12000000.00,1072000000.00,4682000000.00,6862000000.00,541000000.00,2279000000.00,80000000.00,193000000.00,,,,5495000000.00,27000000.00,1000000.00,,,5521000000.00,904000000.00,,,4617000000.00,4551000000.00,,66000000.00,,,.6200,.6200,177000000.00,,,4794000000.00,4702000000.00,92000000.00,,
2264,601318,XSHG,2011-08-18,2011-06-30,2010-06-30,S1,6,1,93818000000.00,74585000000.00,85079000000.00,123000000.00,4542000000.00,5952000000.00,-724000000.00,11765000000.00,,-28000000.00,,,3170000000.00,5050000000.00,,81624000000.00,1728000000.00,18179000000.00,1813000000.00,34439000000.00,406000000.00,2234000000.00,20000000.00,2184000000.00,7643000000.00,13215000000.00,1337000000.00,4734000000.00,413000000.00,391000000.00,,,,12194000000.00,73000000.00,59000000.00,,,12208000000.00,2342000000.00,,,9866000000.00,9611000000.00,,255000000.00,,,1.3000,1.3000,-3239000000.00,,,6627000000.00,6398000000.00,229000000.00,,
2264,601318,XSHG,2017-04-28,2017-03-31,2016-03-31,Q1,3,1,208857000000.00,146925000000.00,155451000000.00,8000000.00,5097000000.00,3429000000.00,-816000000.00,24283000000.00,,43000000.00,,,9390000000.00,29032000000.00,,181729000000.00,7249000000.00,36211000000.00,3521000000.00,64238000000.00,-271000000.00,4825000000.00,,5239000000.00,19362000000.00,28494000000.00,1008000000.00,7485000000.00,9909000000.00,2975000000.00,,,,27128000000.00,270000000.00,50000000.00,,,27348000000.00,3959000000.00,,,23389000000.00,20700000000.00,,2689000000.00,,,1.1600,1.1600,-11246000000.00,,,12143000000.00,9509000000.00,2634000000.00,,
2264,601318,XSHG,2013-08-30,2013-06-30,2012-06-30,S1,6,1,159531000000.00,115571000000.00,127812000000.00,44000000.00,7173000000.00,5068000000.00,155000000.00,18248000000.00,,236000000.00,,,4033000000.00,21288000000.00,,138981000000.00,2576000000.00,38762000000.00,2504000000.00,44347000000.00,480000000.00,3784000000.00,3000000.00,5078000000.00,11138000000.00,25340000000.00,2429000000.00,6977000000.00,5490000000.00,899000000.00,,,,20550000000.00,102000000.00,131000000.00,,,20521000000.00,2994000000.00,,,17527000000.00,13959000000.00,,3568000000.00,,,1.7600,1.7600,4583000000.00,,,22110000000.00,18328000000.00,3782000000.00,,
2264,601318,XSHG,2011-03-30,2010-12-31,2009-12-31,A,12,1,147835000000.00,100383000000.00,112213000000.00,134000000.00,6347000000.00,5483000000.00,1814000000.00,30380000000.00,,-17000000.00,,,8284000000.00,6991000000.00,,128254000000.00,4993000000.00,33154000000.00,3621000000.00,40437000000.00,-183000000.00,4559000000.00,26000000.00,3482000000.00,11418000000.00,22438000000.00,1939000000.00,11481000000.00,763000000.00,880000000.00,,,,19581000000.00,615000000.00,277000000.00,,,19919000000.00,5437000000.00,,,14482000000.00,13883000000.00,,599000000.00,,,1.8900,1.8900,7657000000.00,,,22139000000.00,21530000000.00,609000000.00,,
2264,601318,XSHG,2010-04-30,2010-03-31,2009-03-31,Q1,3,1,35273000000.00,27157000000.00,30790000000.00,33000000.00,1984000000.00,1649000000.00,1263000000.00,4323000000.00,,-3000000.00,,,1240000000.00,1293000000.00,,31672000000.00,1208000000.00,7840000000.00,806000000.00,12685000000.00,96000000.00,989000000.00,8000000.00,690000000.00,2986000000.00,4357000000.00,443000000.00,1729000000.00,372000000.00,153000000.00,,,,3601000000.00,69000000.00,20000000.00,,,3650000000.00,1215000000.00,,,2435000000.00,2346000000.00,,89000000.00,,,.3200,.3200,2379000000.00,,,4814000000.00,4740000000.00,74000000.00,,
2264,601318,XSHG,2014-05-07,2014-03-31,2013-03-31,Q1,3,1,103136000000.00,77276000000.00,85018000000.00,25000000.00,5206000000.00,2536000000.00,53000000.00,11569000000.00,,-26000000.00,,,2096000000.00,12168000000.00,,91160000000.00,1742000000.00,21898000000.00,1802000000.00,39394000000.00,901000000.00,2239000000.00,3000000.00,2691000000.00,6924000000.00,13895000000.00,1285000000.00,3985000000.00,1831000000.00,546000000.00,,,,11976000000.00,46000000.00,29000000.00,,,11993000000.00,2825000000.00,,,9168000000.00,7393000000.00,,1775000000.00,,,.9300,.9300,1628000000.00,,,10796000000.00,8815000000.00,1981000000.00,,
2264,601318,XSHG,2014-08-20,2014-06-30,2013-06-30,S1,6,1,189474000000.00,131030000000.00,144460000000.00,28000000.00,9441000000.00,3989000000.00,-68000000.00,27997000000.00,,-105000000.00,,,5247000000.00,25373000000.00,,161898000000.00,3712000000.00,43102000000.00,3937000000.00,57529000000.00,1293000000.00,3482000000.00,3000000.00,5554000000.00,12872000000.00,29975000000.00,2560000000.00,8315000000.00,3789000000.00,1355000000.00,,,,27576000000.00,126000000.00,351000000.00,,,27351000000.00,5580000000.00,,,21771000000.00,17910000000.00,,3861000000.00,,,2.2600,2.2600,-2489000000.00,,,19282000000.00,15490000000.00,3792000000.00,,
